taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,neonStatus,nameAccordingToID
RARA,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,rattus,,Rattus rattus,species,target,Wilson&Reeder2005
RASP,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,sp.,,Rattus sp.,genus,target,Wilson&Reeder2005
REFU,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,fulvescens,,Reithrodontomys fulvescens,species,target,Wilson&Reeder2005
REHU,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,humulis,,Reithrodontomys humulis,species,target,Wilson&Reeder2005
REME,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,megalotis,,Reithrodontomys megalotis,species,target,Wilson&Reeder2005
REMO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,montanus,,Reithrodontomys montanus,species,target,Wilson&Reeder2005
RESP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Reithrodontomys,sp.,,Reithrodontomys sp.,genus,target,Wilson&Reeder2005
SCAQ,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Scalopus,aquaticus,,Scalopus aquaticus,species,non-target,Wilson&Reeder2005
SCLA,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Scapanus,latimanus,,Scapanus latimanus,species,non-target,Wilson&Reeder2005
SCOR,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Scapanus,orarius,,Scapanus orarius,species,non-target,Wilson&Reeder2005
SCTO,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Scapanus,townsendii,,Scapanus townsendii,species,non-target,Wilson&Reeder2005
SNSP,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Scapanus,sp.,,Scapanus sp.,genus,non-target,Wilson&Reeder2005
