Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D1,cymcom,Cymindis complanata,,Bousquet 2012,
D1,cymcri,Cymindis cribricollis,,Bousquet 2012,
D1,cymele,Cymindis elegans,,Bousquet 2012,
D1,cymlim,Cymindis limbata,,Bousquet 2012,
D1,cymneg,Cymindis neglecta,,Bousquet 2012,
D1,cympil,Cymindis pilosa,,Bousquet 2012,
D1,cympla2,Cymindis platicollis,,Bousquet 2012,
D1,cymuni1,Cymindis unicolor,,Bousquet 2012,
D1,dicamb,Dicaelus ambiguus,,Bousquet 2012,
D1,diccog,Dicheirotrichus cognatus,,Bousquet 2012,
D1,dicdil1,Dicaelus dilatatus dilatatus,,Bousquet 2012,
D1,dicdil2,Dicaelus dilatatus sinuatus,,Bousquet 2012,
D1,dicelo,Dicaelus elongatus,,Bousquet 2012,
D1,dicfur2,Dicaelus furvus furvus,,Bousquet 2012,
D1,dicpol,Dicaelus politus,,Bousquet 2012,
D1,dicpur1,Dicaelus purpuratus purpuratus,,Bousquet 2012,
D1,dicscu1,Dicaelus sculptilis intricatus,,Bousquet 2012,
D1,dictet,Dicaelus teter,,Bousquet 2012,
D1,dipass,Diplocheila assimilis,,Bousquet 2012,
D1,dipimp,Diplocheila impressicollis,,Bousquet 2012,
D1,dipmaj1,Diplocheila major major,,Bousquet 2012,
D1,dipobt,Diplocheila obtusa,,Bousquet 2012,
D1,diprug,Diplous rugicollis,,Bousquet 2012,
D1,diprut,Diplochaetus rutilus,,Bousquet 2012,
D1,dipstr,Diplocheila striatopunctata,,Bousquet 2012,
D1,dispar1,Discoderus parallelus,,Bousquet 2012,
D1,dropic,Dromius piceus,,Bousquet 2012,
D1,dysaff,Dyschirius affinis,,Bousquet 2012,
D1,dysbre,Dyschirius brevispinus,,Bousquet 2012,
D1,dyscam,Dyschirius campicola,,Bousquet 2012,
D1,dyscur,Dyschirius curvispinus,,Bousquet 2012,
D1,dysdej,Dyschirius dejeanii,,Bousquet 2012,
D1,dysery,Dyschirius erythrocerus,,Bousquet 2012,
D1,dysglo,Dyschirius globulosus,,Bousquet 2012,
D1,dyshae,Dyschirius haemorrhoidalis,,Bousquet 2012,
D1,dyslar,Dyschirius larochellei,,Bousquet 2012,
D1,dyspal,Dyschirius pallipennis,,Bousquet 2012,
D1,dyspil,Dyschirius pilosus,,Bousquet 2012,
D1,dyspol,Dyschirius politus politus,,Bousquet 2012,
D1,dyspum,Dyschirius pumilus,,Bousquet 2012,
D1,dyssel,Dyschirius sellatus,,Bousquet 2012,
D1,dysset,Dyschirius setosus,,Bousquet 2012,
D1,dyssph,Dyschirius sphaericollis,,Bousquet 2012,
D1,dyssub2,Dyschirius sublaevis,,Bousquet 2012,
D1,dyster,Dyschirius terminatus,,Bousquet 2012,
D1,elaame1,Elaphrus americanus americanus,,Bousquet 2012,
D1,elaanc,Elaphropus anceps,,Bousquet 2012,
D1,elacal,Elaphrus californicus,,Bousquet 2012,
D1,elacap,Elaphropus capax,,Bousquet 2012,
D1,elacic,Elaphrus cicatricosus,,Bousquet 2012,
D1,elacla,Elaphrus clairvillei,,Bousquet 2012,
D1,eladol,Elaphropus dolosus,,Bousquet 2012,
D1,elafer,Elaphropus ferrugineus,,Bousquet 2012,
D1,elaful,Elaphrus fuliginosus,,Bousquet 2012,
D1,elagra,Elaphropus granarius,,Bousquet 2012,
D1,elainc,Elaphropus incurvus,,Bousquet 2012,
D1,elaoli,Elaphrus olivaceus,,Bousquet 2012,
D1,elarus,Elaphrus ruscarius,,Bousquet 2012,
D1,elasat,Elaphropus saturatus,,Bousquet 2012,
D1,elatri,Elaphropus tripunctatus,,Bousquet 2012,
D1,elaver,Elaphropus vernicatus,,Bousquet 2012,
