"","taxon_id","spp_id","source_id","scientific_name","genus","subgenus","species","subspecies","authority_name","authority_year","itis_number","common_name"
"725","herps","lep_hum5","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops humilis segregus","Leptotyphlops",NA,"humilis","segregus","Klauber",1939,NA,"Trans-Pecos Threadsnake"
"726","herps","lep_hum6","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Leptotyphlops humilis utahensis","Leptotyphlops",NA,"humilis","utahensis","Tanner",1938,NA,"Utah Threadsnake"
"727","herps","lic_tri","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lichanura trivirgata","Lichanura",NA,"trivirgata",NA,"Cope",1861,NA,"Rosy Boa"
"728","herps","lic_tri2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lichanura trivirgata gracia","Lichanura",NA,"trivirgata","gracia","Klauber",1931,NA,"Desert Rosy Boa"
"729","herps","lic_tri3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lichanura trivirgata roseofusca","Lichanura",NA,"trivirgata","roseofusca","Cope",1868,NA,"Coastal Rosy Boa"
"730","herps","lic_tri4","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lichanura trivirgata trivirgata","Lichanura",NA,"trivirgata","trivirgata","Cope",1861,NA,"Mexican Rosy Boa"
"731","herps","lim_ocu",NA,"Limnaoedus ocularis","Limnaoedus",NA,"ocularis",NA,NA,NA,NA,"Little grass frog"
"732","herps","lip_noc","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lipinia noctua","Lipinia",NA,"noctua",NA,"Lesson",1830,NA,"Moth Skink"
"733","herps","lit_are","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates areolatus","Lithobates",NA,"areolatus",NA,"Baird and Girard",1852,NA,"Crawfish Frog"
"734","herps","lit_are2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates areolatus areolatus","Lithobates",NA,"areolatus","areolatus","Baird and Girard",1852,NA,"Southern Crawfish Frog"
"735","herps","lit_are3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates areolatus circulosus","Lithobates",NA,"areolatus","circulosus","Rice and Davis",1878,NA,"Northern Crawfish Frog"
"736","herps","lit_ber","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates berlandieri","Lithobates",NA,"berlandieri",NA,"Baird",1854,NA,"Rio Grande Leopard Frog"
"737","herps","lit_bla","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates blairi","Lithobates",NA,"blairi",NA,"Mecham; Littlejohn; Oldham; Brown and Brown",1973,NA,"Plains"
"738","herps","lit_cap","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lithobates capito","Lithobates",NA,"capito",NA,"Le Conte",1855,NA,"Gopher Frog"
