taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name
check,ana_spe,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus speciosus,Anaxyrus,,speciosus,,Girard,1854,,Texas Toad
check,ana_ter,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus terrestris,Anaxyrus,,terrestris,,Bonnaterre,1789,,Southern Toad
check,ana_woo,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus woodhousii,Anaxyrus,,woodhousii,,Girard,1854,,Woodhouse's Toad
check,ana_woo2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus woodhousii australis,Anaxyrus,,woodhousii,australis,Shannon and Lowe,1955,,Southwestern
check,ana_woo3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus woodhousii woodhousii,Anaxyrus,,woodhousii,woodhousii,Girard,1854,,Rocky Mountain Toad
check,ane_aen,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides aeneus,Aneides,,aeneus,,Cope and Packard,1881,,Green Salamander
check,ane_fer,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides ferreus,Aneides,,ferreus,,Cope,1869,,Clouded Salamander
check,ane_fla,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides flavipunctatus,Aneides,,flavipunctatus,,Strauch,1870,,Black Salamander
check,ane_fla2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides flavipunctatus flavipunctatus,Aneides,,flavipunctatus,flavipunctatus,Strauch,1870,,Speckled Black Salamander
check,ane_fla3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides flavipunctatus niger,Aneides,,flavipunctatus,niger,Myers and Maslin,1948,,Santa Cruz Black Salamander
check,ane_har,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides hardii,Aneides,,hardii,,Taylor,1941,,Sacramento Mountains Salamander
check,ane_lug,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides lugubris,Aneides,,lugubris,,Hallowell,1849,,Arboreal Salamander
check,ane_vag,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Aneides vagrans,Aneides,,vagrans,,Wake and Jackman,1999,,Wandering Salamander
check,ann_pul,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anniella pulchra,Anniella,,pulchra,,Gray,1852,,California Legless Lizard
check,ano_car,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis carolinensis,Anolis,,carolinensis,,Voigt,1832,,Green Anole
check,ano_car2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis carolinensis carolinensis,Anolis,,carolinensis,carolinensis,Voigt,1832,,Northern Green Anole
check,ano_car3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis carolinensis seminolus,Anolis,,carolinensis,seminolus,Vance,1991,,Southern Green Anole
check,ano_chl,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis chlorocyanus,Anolis,,chlorocyanus,,Dumeril and Bibron,1837,,Hispaniolan Green Anole
check,ano_coo,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis cooki,Anolis,,cooki,,Grant,1931,,Cooks Anole
check,ano_cri,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis cristatellus,Anolis,,cristatellus,,,,,Anole
check,ano_cri1,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis cristatellus cristatellus,Anolis,,cristatellus,cristatellus,Dumeril and Bibron,1837,,Puerto Rican Crested Anole
check,ano_cri2,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis cristatellus wileyae,Anolis,,cristatellus,wileyae,Grant,1931,,Eastern Puerto Rican Crested Anole
check,ano_cuv,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis cuvieri,Anolis,,cuvieri,,Merrem,1820,,Puerto Rican Giant Anole
check,ano_cyb,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis cybotes,Anolis,,cybotes,,Cope,1862,,Large-headed Anole
check,ano_cyb2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis cybotes cybotes,Anolis,,cybotes,cybotes,Cope,1862,,Common Large-headed Anole
check,ano_dis,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis distichus,Anolis,,distichus,,Cope,1861,,Bark Anole
check,ano_dis2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis distichus dominicensis,Anolis,,distichus,dominicensis,Reinhardt and Lutken,1863,,Green Bark Anole
check,ano_dis3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis distichus floridanus,Anolis,,distichus,floridanus,Smith and McCauley,1948,,Florida Bark Anole
check,ano_equ,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis equestris,Anolis,,equestris,,Merrem,1820,,Knight Anole
check,ano_equ2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis equestris equestris,Anolis,,equestris,equestris,Merrem,1820,,Western Knight Anole
check,ano_eve,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis evermanni,Anolis,,evermanni,,Stejneger,1904,,Emerald Anole
check,ano_gar,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis garmani,Anolis,,garmani,,Stejneger,1899,,Jamaican Green Anole
check,ano_gun,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis gundlachi,Anolis,,gundlachi,,Peters,1876,,Yellow-bearded Anole
check,ano_kru,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis krugi,Anolis,,krugi,,Peters,1877,,Upland Grass Anole
check,ano_mon,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis monensis,Anolis,,monensis,,Stejneger,1904,,Mona Anole
check,ano_occ,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis occultus,Anolis,,occultus,,Williams and Rivero,1965,,Dwarf Anole
check,ano_pon,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis poncensis,Anolis,,poncensis,,Stejneger,1904,,Dryland Grass Anole
check,ano_por,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis porcatus,Anolis,,porcatus,,Gray,1840,,Cuban Green Anole
check,ano_pul,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis pulchellus,Anolis,,pulchellus,,Dumeril and Bibron,1837,,Sharp-mouthed Lizard
check,ano_roo,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Anolis roosevelti,Anolis,,roosevelti,,Grant,1931,,Culebra Island Giant Anole
check,ano_sag,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis sagrei,Anolis,,sagrei,,Dumeril and Bibron,1837,,Brown Anole
check,ano_sag2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anolis sagrei sagrei,Anolis,,sagrei,sagrei,Dumeril and Bibron,1837,,Cuban Brown Anole
