family,taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id
Castoridae,mammal,cas_can,Wilson_2005,Castor canadensis,Castor,,canadensis,,Kuhl,1820,,American Beaver,1
Cervidae,mammal,cer_ela,Wilson_2005,Cervus elaphus,Cervus,,elaphus,,Linnaeus,1758,,Red Deer (see comments),1
Heteromyidae,mammal,cha_bai,Wilson_2005,Chaetodipus baileyi,Chaetodipus,,baileyi,,Merriam,1894,,Bailey's Pocket Mouse,1
Heteromyidae,mammal,cha_cal,Wilson_2005,Chaetodipus californicus,Chaetodipus,,californicus,,Merriam,1889,,California Pocket Mouse,1
Heteromyidae,mammal,cha_ere,Wilson_2005,Chaetodipus eremicus,Chaetodipus,,eremicus,,Mearns,1898,,Chihuahuan Pocket Mouse,1
Heteromyidae,mammal,cha_for,Wilson_2005,Chaetodipus formosus,Chaetodipus,,formosus,,Merriam,1889,,Long-tailed Pocket Mouse,1
Heteromyidae,mammal,cha_his,Wilson_2005,Chaetodipus hispidus,Chaetodipus,,hispidus,,Baird,1858,,Hispid Pocket Mouse,1
Heteromyidae,mammal,cha_int,Wilson_2005,Chaetodipus intermedius,Chaetodipus,,intermedius,,Merriam,1889,,Rock Pocket Mouse,1
Heteromyidae,mammal,cha_pen,Wilson_2005,Chaetodipus penicillatus,Chaetodipus,,penicillatus,,Woodhouse,1852,,Desert Pocket Mouse,1
Phyllostomidae,mammal,cho_mex,Wilson_2005,Choeronycteris mexicana,Choeronycteris,,mexicana,,Tschudi,1844,,Mexican Long-tongued Bat,1
Talpidae,mammal,con_cri,Wilson_2005,Condylura cristata,Condylura,,cristata,,Linnaeus,1758,,Star-nosed Mole,1
Vespertilionidae,mammal,cor_raf,Wilson_2005,Corynorhinus rafinesquii,Corynorhinus,,rafinesquii,,Lesson,1827,,Rafinesque's Big-eared Bat,1
Vespertilionidae,mammal,cor_tow,Wilson_2005,Corynorhinus townsendii,Corynorhinus,,townsendii,,Cooper,1837,,Townsend's Big-eared Bat,1
Soricidae,mammal,cry_par,Wilson_2005,Cryptotis parva,Cryptotis,,parva,,Say,1823,,North American Least Shrew,1
Sciuridae,mammal,cyn_gun,Wilson_2005,Cynomys gunnisoni,Cynomys,,gunnisoni,,Baird,1855,,Gunnison's Prairie Dog,1
Sciuridae,mammal,cyn_lud,Wilson_2005,Cynomys ludovicianus,Cynomys,,ludovicianus,,Ord,1815,,Black-tailed Prairie Dog,1
Dasypodidae,mammal,das_nov,Wilson_2005,Dasypus novemcinctus,Dasypus,,novemcinctus,,Linnaeus,1758,,Nine-banded Armadillo,1
Cricetidae,mammal,dic_gro,Wilson_2005,Dicrostonyx groenlandicus,Dicrostonyx,,groenlandicus,,Traill,1823,,Nearctic Collared Lemming,1
