unaccepted_synonym,accepted_synonym
Dasypus lundii,Dasypus novemcinctus lundii
Dasypus mazzai,Dasypus novemcinctus mazzai
Tatusia mexicana,Dasypus novemcinctus mexicana
Dasypus cucurbitinus,Dasypus novemcinctus mexicanus
Tatus niger,Dasypus novemcinctus niger
Dasypus niger,Dasypus novemcinctus niger.
Dasypus peba,Dasypus novemcinctus peba
Hyperoambon peba,Dasypus novemcinctus peba
Tatusia platycercus,Dasypus novemcinctus platycercus
Dasypus serratus,Dasypus novemcinctus serratus
Dasypus novemcinctus texanum,Dasypus novemcinctus texanus
Dasypus urocereras,Dasypus novemcinctus uroceras
Cryptophractus pilosus,Dasypus pilosus
Praopus hirsutus,Dasypus pilosus hirsutus
Tatu megalolepis,Dasypus septemcinctus megalolepis
Tatusia (Muletia) propalatum,Dasypus septemcinctus propalatum
Dasycercus byrnei,Dasyuroides byrnei
Dasycercus byrnei byrnei,Dasyuroides byrnei byrnei
Dasycercus byrnei pallidius,Dasyuroides byrnei pallidior
Satanellus albopuctatus,Dasyurus albopunctatus
Dasyurus daemonellus,Dasyurus albopunctatus daemonellus
Dasyurus fuscus,Dasyurus albopunctatus fuscus
Dasyurinus geoffroii,Dasyurus geoffroii
Dasyurinus geoffroii fortis,Dasyurus geoffroii fortis
Dasyurinus geoffroii geoffroii,Dasyurus geoffroii geoffroyii
Satanellus hallucatus,Dasyurus hallucatus
Dasyurus exilis,Dasyurus hallucatus exilis
Satanellus hallucatus hallucatus,Dasyurus hallucatus hallucatus
Dasyurus nesaeus,Dasyurus hallucatus nesaeus
Dasyurus predator,Dasyurus hallucatus predator
Mustela quoll,Dasyurus hallucatus quoll
Viverra maculata,Dasyurus maculatus
Didelphis maculata,Dasyurus maculatus
Dasyurus bowlingi,Dasyurus maculatus bowlingi
Dasyurus gracilis,Dasyurus maculatus gracilis
Dasyurus macrourus,Dasyurus maculatus macrourus
Dasyurus macrourus,Dasyurus maculatus maculatus
Mustela novaehollandiae,Dasyurus maculatus novaehollandiae
Didelphis alboguttata,Dasyurus viverrinus
Dasyurus maugei,Dasyurus viverrinus
Dasyurus guttatus,Dasyurus viverrinus guttatus
Didelphis maculatus,Dasyurus viverrinus maculatus
Dasyurus maugei,Dasyurus viverrinus maugei
Sciurus madagascariensis,Daubentonia madagascariensis
Chiromys madagascariensis,Daubentonia madagascariensis
Daubentonia laniger,Daubentonia madagascariensis laniger
Lemur psilodactylus,Daubentonia madagascariensis psilodactylus
Daubentonia robusta,Daubentonia madagascariensis robusta
Delomys dorsalis collinus,Delomys collinus
Thomasomys dorsalis,Delomys dorsalis
Thomasomys dorsalis dorsalis,Delomys dorsalis dorsalis
Thomasomys dorsalis lechei,Delomys dorsalis lechei
Delomys obscura,Delomys dorsalis obscura
Calomys plebejus,Delomys dorsalis plebejus
Thomasomys sublineatus,Delomys sublineatus
Delphinus albicans,Delphinapterus leucas albicans
Catodon albicans,Delphinapterus leucas albicans
Delphinus albus,Delphinapterus leucas albus
Beluga angustata,Delphinapterus leucas angustata
Delphinapterus beluga,Delphinapterus leucas beluga
Delphinus canadensis,Delphinapterus leucas canadensis
Beluga Catodon,Delphinapterus leucas catodon
Beluga concreta,Delphinapterus leucas concreta
Beluga declivis,Delphinapterus leucas declivis
Delphinapterus dorofeevi,Delphinapterus leucas dorofeevi
Delphinapterus freimani,Delphinapterus leucas freimani
Beluga glacialis,Delphinapterus leucas glacialis
Delphinus (Delphinapterus?) kingii,Delphinapterus leucas kingii
Delphinapterus marisalbi,Delphinapterus leucas marisalbi
Beluga rhinodon,Delphinapterus leucas rhinodon
Catodon Sibbaldi,Delphinapterus leucas sibbaldi
Delphinus delphis capensis,Delphinus capensis
Delphinus delphis tropicalis,Delphinus capensis tropicalis
Delphinus albimanus,Delphinus delphis albimanus
Delphinus algeriensis,Delphinus delphis algeriensis
Delphinus bairdii,Delphinus delphis bairdii
Delphinus delphis var balteatus,Delphinus delphis balteatus
Delphinus capensis dussumieri,Delphinus delphis dussumieri
Delphinus forsteri,Delphinus delphis forsteri
Delphinus fulvifasciatus,Delphinus delphis fulvifasciatus
Delphinus fulvofasciatus,Delphinus delphis fulvofasciatus
Delphinus delphis var fusus,Delphinus delphis fusus
Delphinus janira,Delphinus delphis janira
Delphinus longirostris,Delphinus delphis longirostris
Delphinus marginatus,Delphinus delphis marginatus
Delphinus microps,Delphinus delphis microps
Delphinus moorei,Delphinus delphis moorei
Delphinus delphis var moschatus,Delphinus delphis moschatus
Delphinus novaezelandia,Delphinus delphis novaezelandia
Delphinus pomeegra,Delphinus delphis pomeegra
Delphinus sao,Delphinus delphis sao
Delphinus delphis var Souverbianus,Delphinus delphis Souverbianus
Eudelphinus tasmaniensis,Delphinus delphis tasmaniensis
Delphinus delphis var variegatus,Delphinus delphis variegatus
Delphinus walkeri,Delphinus delphis walkeri
Delphinus Bonnaterrei,Delphinus feres
Phocaena leucocephala,Delphinus leucocephalus
Phocaena lunata,Delphinus lunatus
Delphinorhynchus maculatus,Delphinus maculatus
Sotalia maculiventer,Delphinus maculiventer
Oxypterus mongitori,Delphinus mongitori
Oxypterus rhinoceros,Delphinus rhinoceros
Delphinus nesarnac,Delphinus tursio
Epiodon urganantus,Delphinus urganantus
Physeter urganantus,Delphinus urganantus
Akodon kempi,Deltamys kempi
Akodon kempi kempi,Deltamys kempi kempi
Akodon kempi langguthi,Deltamys kempi langguthi
Dendrogale baluensis,Dendrogale melanura baluensis
Dendrogale frenata,Dendrogale murina frenata
Procavia arborea,Dendrohyrax arboreus
Procavia adolfi-friederici,Dendrohyrax arboreus adolfifriederici
Dendrohyrax bettoni,Dendrohyrax arboreus bettoni
Procavia crawshayi,Dendrohyrax arboreus crawshayi
Procavia (Heterohyrax) helgei,Dendrohyrax arboreus helgei
Procavia crawshayi laikipia,Dendrohyrax arboreus laikipia
Procavia mima,Dendrohyrax arboreus mimus
Procavia ruwenzorii,Dendrohyrax arboreus ruwenzorii
Procavia scheelei,Dendrohyrax arboreus scheelei
Procavia scheffleri,Dendrohyrax arboreus scheffleri
Dendrohyrax schubotzi,Dendrohyrax arboreus schubotzi
Procavia stuhlmanni,Dendrohyrax arboreus stuhlmanni
Procavia (Dendrohyrax) vilhelmi,Dendrohyrax arboreus vilhelmi
Hyrax dorsalis,Dendrohyrax dorsalis
Dendrohyrax adametzi,Dendrohyrax dorsalis adametzi
Dendrohyrax aschantiensis,Dendrohyrax dorsalis aschantiensis
Dendrohyrax beniensis,Dendrohyrax dorsalis beniensis
Dendrohyrax brevimaculatus,Dendrohyrax dorsalis brevimaculatus
Dendrohyrax congoensis,Dendrohyrax dorsalis congoensis
Dendrohyrax arboreus emini,Dendrohyrax dorsalis emini
Procavia emini latrator,Dendrohyrax dorsalis latrator
Dendrohyrax marmota,Dendrohyrax dorsalis marmota
Dendrohyrax arboreus nigricans,Dendrohyrax dorsalis nigricans
Procavia nigricans,Dendrohyrax dorsalis nigricans
Dendrohyrax rubriventer,Dendrohyrax dorsalis rubriventer
Hyrax stampflii,Dendrohyrax dorsalis stampflii
Hyrax sylvestris,Dendrohyrax dorsalis sylvestris
Procavia tessmanni,Dendrohyrax dorsalis tessmanni
Procavia adametzi zenkeri,Dendrohyrax dorsalis zenkeri
Procavia valida,Dendrohyrax validus
Dendrohyrax adersi,Dendrohyrax validus adersi
Dendrohyrax arboreus neumanni,Dendrohyrax validus neumanni
Procavia neumanni,Dendrohyrax validus neumanni
Procavia terricola schusteri,Dendrohyrax validus schusteri
Procavia terricola,Dendrohyrax validus terricola
Dendrohyrax terricola vosseleri,Dendrohyrax validus vosseleri
Dendrolagus dorianus bennettianus,Dendrolagus bennettianus
Dendrolagus palliceps,Dendrolagus dorianus
Dendrolagus mayri,Dendrolagus dorianus mayri
Dendrolague notatus,Dendrolagus dorianus notatus
Dendrolagus palliceps,Dendrolagus dorianus palliceps
Dendrolagus matschiei goodfellowi,Dendrolagus goodfellowi
Dendrolague buergersi,Dendrolagus goodfellowi buergersi
Dendrolagus matschiei shawmayeri,Dendrolagus goodfellowi shawmayeri
Dendrolagus matschiei inustus,Dendrolagus inustus
Dendrolagus schoedei,Dendrolagus inustus
Dendrolagus finschi,Dendrolagus inustus finschi
Dendrolagus keiensis,Dendrolagus inustus keiensis
Dendrolagus maximus,Dendrolagus inustus maximus
Dendrolagus schoedei,Dendrolagus inustus schoedei
Dendrolagus sorongensis,Dendrolagus inustus sorongensis
Dendrolagus fulvus,Dendrolagus lumholtzi
Dendrolagus fulvus,Dendrolagus lumholtzi fulvus
Dendrolagus deltae,Dendrolagus matschiei deltae
Dendrolagus flavidior,Dendrolagus matschiei flavidior
Dendrolagus goodfellowi pulcherrimus,Dendrolagus pulcherrimus
Dendrolagus goodfellowi spadix,Dendrolagus spadix
Dendrolagus goodfellowi stellarum,Dendrolagus stellarum
Hypsiprymnus ursinus,Dendrolagus ursinus
Dendrolagus leucogenys,Dendrolagus ursinus leucogenys
Dendromus mesomelas insignis,Dendromus insignis
Dendromus mesomelas kilimandjari,Dendromus insignis kilimandjari
Dendromus mesomelas percivali,Dendromus insignis percivali
Dendromus insignis kivu,Dendromus kivu
Dendromus nyasae lunaris,Dendromus kivu lunaris
Dendromus melanotis leucostomus,Dendromus leucostomus
Dendromus arenarius,Dendromus melanotis arenarius
Dendromus concinnus,Dendromus melanotis concinnus
Dendromus exoneratus,Dendromus melanotis exoneratus
Dendromus nigrifrons,Dendromus melanotis nigrifrons
Dendromus pallidus,Dendromus melanotis pallidus
Dendromus nigrifrons shortridgei,Dendromus melanotis shortridgei
Dendromus spectabilis,Dendromus melanotis spectabilis
Dendromus subtilis,Dendromus melanotis subtilis
Dendromus nigrifrons vulturnus,Dendromus melanotis vulturnus
Dendromus ayresi,Dendromus mesomelas ayresi
Dendromus hintoni,Dendromus mesomelas hintoni
Dendromus nyasae,Dendromus mesomelas nyasae
Dendromus pumilio,Dendromus mesomelas pumilio
Dendromus typus,Dendromus mesomelas typus
Dendromus mystacalis messorius,Dendromus messorius
Dendromus haymani,Dendromus messorius haymani
Dendromus ruddi,Dendromus messorius ruddi
Dendromus acraeus,Dendromus mystacalis acraeus
Dendromus ansorgei,Dendromus mystacalis ansorgei
Dendromus whytei capitis,Dendromus mystacalis capitis
Dendromus jamesoni,Dendromus mystacalis jamesoni
Dendromus lineatus,Dendromus mystacalis lineatus
Dendromus pumilio lineatus,Dendromus mystacalis lineatus
Dendromus nairobae,Dendromus mystacalis nairobae
Dendromus ochropus,Dendromus mystacalis ochropus
Dendromus whytei pallescens,Dendromus mystacalis pallescens
Dendromus jamesoni pongolensis,Dendromus mystacalis pongolensis
Dendromus pumilio uthmoelleri,Dendromus mystacalis uthmoelleri
Dendromus whytei,Dendromus mystacalis whytei
Dendromus melanotis angolensis,Dendromus nyikae angolensis
Dendromus longicauda bernardi,Dendromus nyikae bernardi
Dendromus longicaudatus,Dendromus nyikae longicaudatus
Dendromus pecilei,Dendromus nyikae pecilei
Dendromus mesomelas vernayi,Dendromus vernayi
Mus defua,Dephomys defua
Dephomys defua eburnea,Dephomys eburneae
Pteropus leucopterus,Desmalopex leucopterus
Pteropus chinensis,Desmalopex leucopterus chinensis
Castor moschatus,Desmana moschata
Desmodilliscus buchanani,Desmodilliscus braueri buchanani
Gerbillus brevicaudatus,Desmodillus auricularis brevicaudatus
Tatera caffer,Desmodillus auricularis caffer
Phyllostoma rotundum,Desmodus rotundus
Edostoma cinerea,Desmodus rotundus cinerea
Desmodus D'Orbigny,Desmodus rotundus d'orbigny
Rhinolophus ecaudatus,Desmodus rotundus ecaudatus
Desmodus fuscus,Desmodus rotundus fuscus
Desmodus mordax,Desmodus rotundus mordax
Desmodus murinus,Desmodus rotundus murinus
Desmodus puntajudensis,Desmodus rotundus puntajudensis
Desmodus rufus,Desmodus rotundus rufus
Pelomys harringtoni,Desmomys harringtoni
Arvicanthis rex,Desmomys rex
Mylomys rex ?,Desmomys rex
Desmodus youngi,Diaemus youngi
Rhinoceros sumatrensis,Dicerorhinus sumatrensis
Ceratorhinus blythii,Dicerorhinus sumatrensis blythii
Rhinoceros lasiotis,Dicerorhinus sumatrensis lasiotis
Didermocerus sumatrensis lasiotis,Dicerorhinus sumatrensis lasiotis
Ceratorhinus niger,Dicerorhinus sumatrensis niger
Didermocerus sumatrensis sumatrensis,Dicerorhinus sumatrensis sumatrensis
Rhinoceros africanus,Diceros bicornis africanus
Rhinoceros brucii,Diceros bicornis brucii
Rhinoceros camperi,Diceros bicornis camperi
Rhinoceros bicornis capensis,Diceros bicornis capensis
Rhinoceros cucullatus,Diceros bicornis cucullatus
Rhinoceros gordoni,Diceros bicornis gordoni
Diceros holmwoodi,Diceros bicornis holmwoodi
Rhinoceros holmwoodi,Diceros bicornis holmwoodi
Rhinoceros keitloa,Diceros bicornis keitloa
Rhinuster Keitloa,Diceros bicornis keitloa
Rhinoceros kulumane,Diceros bicornis kulumane
Rhinoceros bicornis major,Diceros bicornis major
Diceros bicornis keitloa var. minor,Diceros bicornis minor
Rhinoceros niger,Diceros bicornis niger
Opsiceros occidentalis,Diceros bicornis occidentalis
Diclidurus freyreisii,Diclidurus albus freyreisii
Diclidurus virgo,Diclidurus albus virgo
Dicrostonyx groenlandicus exsul,Dicrostonyx exsul
Mus hudsonius,Dicrostonyx hudsonius
Dicrostonyx groenlandicus kilangmiutak,Dicrostonyx kilangmiutak
Dicrostonyx groenlandicus nelsoni,Dicrostonyx nelsoni
Dicrostonyx groenlandicus peninsulae,Dicrostonyx nelsoni peninsulae
Dicrostonyx groenlandicus nunatakensis,Dicrostonyx nunatakensis
Dicrostonyx groenlandicus richardsoni,Dicrostonyx richardsoni
Dicrostonyx hudsonius richardsoni,Dicrostonyx richardsoni
Dicrostonyx groenlandicus rubricatus,Dicrostonyx rubricatus
Dicrostonyx hudsonius alascensis,Dicrostonyx rubricatus alascensis
Cuniculus torquatus,Dicrostonyx rubricatus alascensis
Cuniculus torquatus,Dicrostonyx torquatus
Dicrostonyx chionopaes,Dicrostonyx torquatus chionopaes
Mus lenae,Dicrostonyx torquatus lenae
Lemmus ungulatus,Dicrostonyx torquatus ungulatus
Dicrostonyx groenlandicus unalascensis,Dicrostonyx unalascensis
Dicrostonyx hudsonius unalascensis,Dicrostonyx unalascensis
Dicrostomyx stevensoni,Dicrostonyx unalascensis stevensoni
Dicrostonyx torquatus vinogradovi,Dicrostonyx vinogradovi
Didelphis paraguayensis andina,Didelphis albiventris andina
Didelphys azarae antiqua,Didelphis albiventris antiqua
Didelphis azarae,Didelphis albiventris azarae
Didelphis azarae,Didelphis albiventris azarae.
Didelphis paraguayensis bonariensis,Didelphis albiventris bonariensis
Didelphis paraguayensis dennleri,Didelphis albiventris dennleri
Didelphys lechii,Didelphis albiventris lechei
Didelphis leucoprymnus,Didelphis albiventris leucoprymnus
Didelphis leucotis,Didelphis albiventris leucotis
Didelphis paraguayensis meridensis,Didelphis albiventris meridensis
Didelphis paraguayensis,Didelphis albiventris paraguayensis
Didelphis pacilonota,Didelphis albiventris poecilonota
Didelphys poecilotis,Didelphis albiventris poecilotis
Didelphis marsupialis aurita,Didelphis aurita
Didelphis azarae,Didelphis aurita azarae
Didelphis crancrivora,Didelphis aurita crancrivora
Didelphys koseritzi,Didelphis aurita koseritzi
Didelphis longipilis,Didelphis aurita longipilis
Didelphis marsupialis,Didelphis aurita marsupialis
Didelphis marsupialis typica,Didelphis aurita typica
Didelphis albiventris imperfecta,Didelphis imperfecta
Didelphys aurita,Didelphis marsupialis aurita
Didelphis austroamericana,Didelphis marsupialis austroamericana
Didelphis azarae,Didelphis marsupialis azarae
Didelphis azarae,Didelphis marsupialis azarae.
Didelphis cancrivora,Didelphis marsupialis cancrivora
Didelphis karkinophaga caucae,Didelphis marsupialis caucae
Didelphis karkinophaga colombica,Didelphis marsupialis colombica
Didelphis karkinophaga,Didelphis marsupialis karkinophaga
Didelphis virginiana mesamericana,Didelphis marsupialis mesamericana
Didelphis richmondi,Didelphis marsupialis richmondi
Didelphis mesamericana tabascensis,Didelphis marsupialis tabascensis
Didelphis albiventris pernigra,Didelphis pernigra
Didelphis marsupialis virginiana,Didelphis virginiana
Didelphys virginiana,Didelphis virginiana
Didelphis breviceps,Didelphis virginiana breviceps
Didelphis californica,Didelphis virginiana californica
Didelphis yucatanensis cozumelae,Didelphis virginiana cozumelae
Didelphis mesamericana,Didelphis virginiana mesamericana
Dydelphis mesamericana,Didelphis virginiana mesamericana
Didelphis marsupialis pigra,Didelphis virginiana pigra
Didelphis pruinosa,Didelphis virginiana pruinosa
Didelphis marsupialis texensis,Didelphis virginiana texensis
Didelphis woapink,Didelphis virginiana woapink
Didelphis yucatanensis,Didelphis virginiana yucatanensis
Dolomys milleri,Dinaromys bogdanovi
Dolomys bogdanovi bogdanovi,Dinaromys bogdanovi bogdanovi
Dolomys bogdanovi grebenscikovi,Dinaromys bogdanovi grebenscikovi
Dolomys bogdanovi korabensis,Dinaromys bogdanovi korabensis
Microtus marakovici,Dinaromys bogdanovi marakovici
Dolomys bogdanovi marakovici,Dinaromys bogdanovi marakovici
Dolomys bogdanovi preniensis,Dinaromys bogdanovi preniensis
Dinomys gigas,Dinomys branickii gigas
Dinomys pacarana,Dinomys branickii pacarana
Diphylla centralis,Diphylla ecaudata centralis
Glossophaga diphylla,Diphylla ecaudata diphylla
Hemigalus hosei,Diplogale hosei
Sorex pulchellus,Diplomesodon pulchellum
Loncheres labilis,Diplomys labilis
Diplomys darlingi,Diplomys labilis darlingi
Santamartamys rufodorsalis,Diplomys rufodorsalis
Lenothrix legatus,Diplothrix legata
Rattus bowersi okinavensis,Diplothrix legata okinavensis
Perodipus agilis,Dipodomys agilis
Perodipus perplexus,Dipodomys agilis perplexus
Dipodomys heermanni californicus,Dipodomys californicus
Dipodomys californicus pallidulus,Dipodomys californicus
Dipodomys heermani eximius,Dipodomys californicus eximius
Dipodomys heermanni gabrielsoni,Dipodomys californicus gabrielsoni
Dipodomys pallidulus,Dipodomys californicus pallidulus
Dipodomys heermani saxatilis,Dipodomys californicus saxatilis
Dipodomys ordii compactus,Dipodomys compactus
Dipodomys ordii largus,Dipodomys compactus compactus
Dipodomys ordii largus,Dipodomys compactus largus
Dipodomys ordii parvabullatus,Dipodomys compactus parvabullatus
Dipodomys sennetti,Dipodomys compactus sennetti
Dipodomys deserti helleri,Dipodomys deserti deserti
Dipodomys venustus elephantinus,Dipodomys elephantinus
Perodipus streatori,Dipodomys heermanni
Perodipus dixoni,Dipodomys heermanni dixoni
Perodipus goldmani,Dipodomys heermanni goldmani
Dipodomys jolonensis,Dipodomys heermanni jolonensis
Dipodomys morroensis,Dipodomys heermanni morroensis
Perodipus streatori,Dipodomys heermanni streatori
Dipodomys agilis tularensis,Dipodomys heermanni tularensis
Perodipus ingens,Dipodomys ingens
Dipodomys merriami insularis,Dipodomys insularis
Dipodomys merriami margaritae,Dipodomys margaritae
Dipodomys ambiguus,Dipodomys merriami ambiguus
Dipodomys mitchelli,Dipodomys merriami mitchelli
Dipodomys parvus,Dipodomys merriami parvus
Dipodomys platycephalus,Dipodomys merriami platycephalus
Dipodomys similis,Dipodomys merriami similis
Dipodomys simiolus,Dipodomys merriami simiolus
Perodipus microps,Dipodomys microps
Perodipus microps levipes,Dipodomys microps levipes
Perodipus microps preblei,Dipodomys microps preblei
Dipodomys merriami nitratoides,Dipodomys nitratoides
Dipodomys merriami brevinasus ?,Dipodomys nitratoides brevinasus
