unaccepted_synonym,accepted_synonym
Allactaga saliens chachlovi,Allactaga elater chachlovi
Allactaga indica,Allactaga elater indica
Allactaga kizljaricus,Allactaga elater kizljaricus
Allactaga strandi,Allactaga elater strandi
Paralactaga euphratica,Allactaga euphratica
Allactaga hotsoni firouzi,Allactaga firouzi
Allactaga jaculus,Allactaga major
Dipus aulacotis,Allactaga major aulacotis
Alactaga jaculus brachyotis,Allactaga major brachyotis
Dipus decumanus,Allactaga major decumanus
Alactaga jaculus macrotis flavescens,Allactaga major flavescens
Alactaga jaculus fuscus,Allactaga major fuscus
Allactaga hochlovi,Allactaga major hochlovi
Alactaga jaculus intermedius,Allactaga major intermedius
Allactaga jaculus,Allactaga major jaculus
Alactaga jaculus macrotis,Allactaga major macrotis
Alactaga jaculus macrotis nigricans,Allactaga major nigricans
Dipus spiculum,Allactaga major spiculum
Dipus vexillarius,Allactaga major vexillarius
Orientallactaga sibirica,Allactaga sibirica
Dipus annulatus,Allactaga sibirica annulata
Dipus brachyurus,Allactaga sibirica brachyurus
Allactaga saltator dementiewi,Allactaga sibirica dementiewi
Allactaga grisescens,Allactaga sibirica grisescens
Dipus halticus,Allactaga sibirica halticus
Allactaga mongolica longior,Allactaga sibirica longior
Mus jaculus media,Allactaga sibirica media
Dipus sibiricus medius,Allactaga sibirica medius
Allactaga mongolica,Allactaga sibirica mongolica
Allactaga ognevi,Allactaga sibirica ognevi
Allactaga ruckbeili,Allactaga sibirica ruckbeili
Allactaga saliens,Allactaga sibirica saliens
Allactaga saltator,Allactaga sibirica saltator
Allactaga semideserta,Allactaga sibirica semideserta
Alactaga suschkini,Allactaga sibirica suschkini
Scarturus tetradactyla,Allactaga tetradactyla
Scarturus tetradactylus,Allactaga tetradactyla
Dipus abyssinicus,Allactaga tetradactyla abyssinicus
Dipus brucii,Allactaga tetradactyla brucii
Allactaga elater vinogradovi,Allactaga vinogradovi
Allactaga euphratica williamsi,Allactaga williamsi
Allactaga euphratica caprimulga,Allactaga williamsi caprimulga
Allactaga euphratica laticeps,Allactaga williamsi laticeps
Allactaga euphratica schmidti,Allactaga williamsi schmidti
Allactaga bobrinskii,Allactodipus bobrinskii
Cercopithecus nigroviridis,Allenopithecus nigroviridis
Lasiopyga nigroviridis,Allenopithecus nigroviridis
Cheirogaleus trichotis,Allocebus trichotis
Cricetulus eversmanni curtatus,Allocricetulus curtatus
Cricetulus curtatus,Allocricetulus curtatus
Cricetulus eversmani,Allocricetulus eversmanni
Cricetulus eversmanni belajevi,Allocricetulus eversmanni belajevi
Cricetulus eversmanni beljaevi,Allocricetulus eversmanni beljaevi
Cricetulus eversmanni beljawi,Allocricetulus eversmanni beljawi
Cricetulus eversmanni eversmanni,Allocricetulus eversmanni eversmanni
Mesocricetus microdon,Allocricetulus eversmanni microdon
Allocricetulus eversmanni beljaevi pseudocurtatus,Allocricetulus eversmanni pseudocurtatus
